NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,321451,15947,27617,23615,34901
2,1000,0,172123,15947,27617,23495,20937
2,1000,0,168386,15947,27617,15947,18641
2,1000,0,11541,15947,27617,23625,27233
2,1000,0,444036,15947,27617,31199,34927
2,1000,0,451714,15947,27617,23555,29185
2,1000,0,746237,15947,27617,23529,20937
2,1000,0,891259,15947,27617,23551,34837
2,1000,0,807196,15947,27617,23589,29219
2,1000,0,892315,15947,27617,23553,29183
2,1000,0,1308544,15947,27617,15947,18641
2,1000,0,1182351,15947,27617,34993,27233
2,1000,0,1153040,15947,27617,31237,27233
2,1000,0,1193593,15947,27617,23199,28829
2,1000,0,1339524,15947,27617,31097,34829
2,1000,0,1412443,15947,27617,31045,27233
2,1000,0,1593457,15947,27617,31221,27233
2,1000,0,1494808,15947,27617,31145,34863
2,1000,0,1496126,15947,27617,31185,29175
2,1000,0,1786004,15947,27617,38587,27233
2,1000,0,1909594,15947,27617,34939,27233
2,1000,0,1940376,15947,27617,49949,27313
2,1000,0,2162421,15947,27617,46035,27233
2,1000,0,1981204,15947,27617,27240,20937
2,1000,0,2232240,15947,27617,31049,29085
2,1000,0,2377523,15947,27617,34706,27233
2,1000,0,2609181,15947,27617,50253,27313
2,1000,0,2611387,15947,27617,42309,27233
2,1000,0,2600196,15947,27617,23441,29071
2,1000,0,2678979,15947,27617,46357,27233
2,1000,0,2730463,15947,27617,42031,27617
2,1000,0,2726867,15947,27617,49563,27617
2,1000,0,2945020,15947,27617,57762,34859
2,1000,0,3056638,15947,27617,45789,27617
2,1000,0,3125600,15947,27617,38581,27233
2,1000,0,3380554,15947,27617,57349,27617
2,1000,0,3230564,15947,27617,57451,27233
2,1000,0,3171677,15947,27617,57217,27313
2,1000,0,3191571,15947,27617,57255,27617
2,1000,0,3572103,15947,27617,68597,27617
2,1000,0,3584162,15947,27617,65303,27617
2,1000,0,3593454,15947,27617,60873,27617
2,1000,0,3607691,15947,27617,53599,27617
2,1000,0,3573714,15947,27617,57374,27233
2,1000,0,3609050,15947,27617,57180,27617
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,321451,15947,27617,17153.599815778434,34901
2,1000,0.1,172123,15947,27617,17569.399802975357,20937
2,1000,0.1,168386,15947,27617,17113.99981289357,18641
2,1000,0.1,11541,15947,27617,17193.1998251006,27233
2,1000,0.1,444036,15947,27617,17529.799888186157,34927
2,1000,0.1,451714,15947,27617,17153.599849514663,29185
2,1000,0.1,746237,15947,27617,17430.799709133804,20937
2,1000,0.1,891259,15947,27617,17133.79981022328,34837
2,1000,0.1,807196,15947,27617,17212.999873928726,29219
2,1000,0.1,892315,15947,27617,17371.39989834279,29183
2,1000,0.1,1308544,15947,27617,17113.99981289357,18641
2,1000,0.1,1182351,15947,27617,17727.79990439862,27233
2,1000,0.1,1153040,15947,27617,20499.799892239273,27233
2,1000,0.1,1193593,15947,27617,20915.598575405777,28829
2,1000,0.1,1339524,15947,27617,17806.99997549504,34829
2,1000,0.1,1412443,15947,27617,17470.399997524917,27233
2,1000,0.1,1593457,15947,27617,17529.79995327443,27233
2,1000,0.1,1494808,15947,27617,17490.1998584792,34863
2,1000,0.1,1496126,15947,27617,17767.399928860366,29175
2,1000,0.1,1786004,15947,27617,17886.20002936572,27233
