NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,0,8685,11439,8685,10155
10,1000,0,590158,8685,11439,8685,10155
10,1000,0,481710,8685,11439,8685,10155
10,1000,0,233680,8685,11439,8879,10349
10,1000,0,608123,8685,11439,10585,12055
10,1000,0,572351,8685,11439,8685,10155
10,1000,0,21,8685,11439,8685,10155
10,1000,0,126598,8685,11439,9089,10559
10,1000,0,701178,8685,11439,10571,12041
10,1000,0,594149,8685,11439,10583,12053
10,1000,0,600119,8685,11439,8685,10155
10,1000,0,1147174,8685,11439,8685,10155
10,1000,0,1347371,8685,11439,8901,10361
10,1000,0,1201485,8685,11439,8711,10167
10,1000,0,1152750,8685,11439,8685,10155
10,1000,0,1171851,8685,11439,8685,10155
10,1000,0,1212404,8685,11439,8685,10155
10,1000,0,764080,8685,11439,10779,12249
10,1000,0,872872,8685,11439,10573,12043
10,1000,0,1284322,8685,11439,9049,10155
10,1000,0,849773,8685,11439,8685,10155
10,1000,0,1735793,8685,11439,10605,11889
10,1000,0,2142810,8685,11439,10591,12043
10,1000,0,1723047,8685,11439,10457,11911
10,1000,0,2018584,8685,11439,8685,10155
10,1000,0,1901676,8685,11439,8699,10169
10,1000,0,1600130,8685,11439,8685,10155
10,1000,0,2092072,8685,11439,8685,10155
10,1000,0,1851912,8685,11439,8685,10155
10,1000,0,1752230,8685,11439,9063,10155
10,1000,0,1665090,8685,11439,10769,12097
10,1000,0,2354986,8685,11439,10563,12037
10,1000,0,2795705,8685,11439,8891,10347
10,1000,0,2643853,8685,11439,10453,11923
10,1000,0,2762579,8685,11439,8869,10335
10,1000,0,2834419,8685,11439,10627,11921
10,1000,0,2933294,8685,11439,10571,12005
10,1000,0,2421087,8685,11439,8697,10155
10,1000,0,2772876,8685,11439,8713,10155
10,1000,0,2703879,8685,11439,8701,10155
10,1000,0,2835144,8685,11439,8699,10155
10,1000,0,3049584,8685,11439,10455,11911
10,1000,0,3652077,8685,11439,10961,11911
10,1000,0,3232233,8685,11439,10457,11911
10,1000,0,3355255,8685,11439,9051,13949
10,1000,0,3562007,8685,11439,8685,10155
10,1000,0,3231747,8685,11439,10553,11983
10,1000,0,3623471,8685,11439,12701,13611
10,1000,0,3663322,8685,11439,8703,10155
10,1000,0,3564429,8685,11439,10890,12174
10,1000,0,3404830,8685,11439,10611,11911
10,1000,0,3985339,8685,11439,10683,12087
10,1000,0,4186331,8685,11439,12695,13913
10,1000,0,3969423,8685,11439,9043,13969
10,1000,0,4205571,8685,11439,10495,11919
10,1000,0,4241572,8685,11439,10989,12415
10,1000,0,4344111,8685,11439,8826,10256
10,1000,0,4391014,8685,11439,12421,13893
10,1000,0,3836446,8685,11439,8693,10155
10,1000,0,3962783,8685,11439,10921,12191
10,1000,0,4086208,8685,11439,10951,12077
10,1000,0,4765670,8685,11439,11315,12591
10,1000,0,5028041,8685,11439,9135,10591
10,1000,0,4884765,8685,11439,10619,12073
10,1000,0,4548220,8685,11439,8731,10165
10,1000,0,4515601,8685,11439,10811,12075
10,1000,0,5112608,8685,11439,12385,13833
10,1000,0,4491282,8685,11439,10865,12169
10,1000,0,4793915,8685,11439,8786,10242
10,1000,0,4716976,8685,11439,8685,10155
10,1000,0,5108980,8685,11439,11157,12243
10,1000,0,5891826,8685,11439,10483,11917
10,1000,0,5246699,8685,11439,10813,12247
10,1000,0,5744662,8685,11439,9607,14533
10,1000,0,5586864,8685,11439,10419,11889
10,1000,0,5288153,8685,11439,10629,11911
10,1000,0,5401890,8685,11439,8917,10369
10,1000,0,5883459,8685,11439,10710,11996
10,1000,0,5400486,8685,11439,10675,12039
10,1000,0,5457418,8685,11439,10712,11994
10,1000,0,5471901,8685,11439,10851,12097
10,1000,0,6010210,8685,11439,10767,12059
10,1000,0,6283520,8685,11439,10531,11917
10,1000,0,6479247,8685,11439,11505,12429
10,1000,0,6399394,8685,11439,8951,10375
10,1000,0,6369448,8685,11439,12463,13923
10,1000,0,6055511,8685,11439,8895,10365
10,1000,0,6540530,8685,11439,14855,15815
10,1000,0,6515098,8685,11439,12563,14009
10,1000,0,6378225,8685,11439,10713,12041
10,1000,0,6602021,8685,11439,8865,10335
10,1000,0,7191415,8685,11439,11335,12253
10,1000,0,7343776,8685,11439,12329,13773
10,1000,0,7080344,8685,11439,11047,12469
10,1000,0,7128035,8685,11439,10493,11911
10,1000,0,7306416,8685,11439,10733,12049
10,1000,0,6778979,8685,11439,11245,12263
10,1000,0,7110672,8685,11439,10748,12018
10,1000,0,7225681,8685,11439,10725,12005
10,1000,0,6772641,8685,11439,11367,16131
10,1000,0,7355466,8685,11439,10825,12253
10,1000,0,7585121,8685,11439,10773,12093
10,1000,0,7566990,8685,11439,10907,12013
10,1000,0,8071376,8685,11439,11535,16293
10,1000,0,8064697,8685,11439,8757,10213
10,1000,0,8022747,8685,11439,12545,14005
10,1000,0,7842305,8685,11439,11263,12669
10,1000,0,7835725,8685,11439,8897,10349
10,1000,0,7575292,8685,11439,11347,12643
10,1000,0,7419588,8685,11439,11093,12205
10,1000,0,7716989,8685,11439,11482,16200
10,1000,0,8301246,8685,11439,11151,11911
10,1000,0,8443922,8685,11439,12531,13811
10,1000,0,8399187,8685,11439,11163,12423
10,1000,0,8536907,8685,11439,11141,12421
10,1000,0,8263162,8685,11439,10757,12255
10,1000,0,8811899,8685,11439,10717,11997
10,1000,0,8283430,8685,11439,8921,10361
10,1000,0,8351145,8685,11439,10822,12122
10,1000,0,8841904,8685,11439,11282,12584
10,1000,0,8673545,8685,11439,8955,10387
10,1000,0,8883653,8685,11439,9569,14475
10,1000,0,9297648,8685,11439,10997,12439
10,1000,0,8912962,8685,11439,10837,12245
10,1000,0,9498955,8685,11439,11189,12441
10,1000,0,9342749,8685,11439,10633,11931
10,1000,0,9384101,8685,11439,14557,15697
10,1000,0,9054790,8685,11439,13049,17805
10,1000,0,9353648,8685,11439,12891,17627
10,1000,0,9198214,8685,11439,10969,15829
10,1000,0,9129019,8685,11439,12863,14179
10,1000,0,9723943,8685,11439,13135,17889
10,1000,0,10152458,8685,11439,11281,12237
10,1000,0,10236761,8685,11439,11448,12670
10,1000,0,9831093,8685,11439,12795,14203
10,1000,0,10082034,8685,11439,10671,12085
10,1000,0,9742728,8685,11439,11287,16051
10,1000,0,9974483,8685,11439,10997,15897
10,1000,0,10288048,8685,11439,11455,16261
10,1000,0,10048608,8685,11439,11181,16017
10,1000,0,10266930,8685,11439,12503,13773
10,1000,0,10396889,8685,11439,11439,12417
10,1000,0,10676839,8685,11439,11333,12263
10,1000,0,10451814,8685,11439,11017,12295
10,1000,0,10802548,8685,11439,15053,15855
10,1000,0,11001248,8685,11439,9259,10377
10,1000,0,10783426,8685,11439,10991,12105
10,1000,0,10480426,8685,11439,10951,12265
10,1000,0,10430044,8685,11439,11057,16059
10,1000,0,10421016,8685,11439,10963,12257
10,1000,0,10537677,8685,11439,10938,12272
10,1000,0,11162019,8685,11439,11211,16101
10,1000,0,11464738,8685,11439,10703,12097
10,1000,0,11197919,8685,11439,12397,13789
10,1000,0,11158205,8685,11439,10977,12227
10,1000,0,11120929,8685,11439,12617,13983
10,1000,0,11199689,8685,11439,10989,12303
10,1000,0,11211048,8685,11439,11187,12097
10,1000,0,11445366,8685,11439,10997,12103
10,1000,0,11419151,8685,11439,11365,16045
10,1000,0,11549427,8685,11439,12779,14021
10,1000,0,12297805,8685,11439,11371,12341
10,1000,0,12048257,8685,11439,11349,16135
10,1000,0,11886660,8685,11439,10991,12269
10,1000,0,12046694,8685,11439,14725,15879
10,1000,0,11904416,8685,11439,11227,15985
10,1000,0,12177819,8685,11439,11519,12615
10,1000,0,12410726,8685,11439,11099,12053
10,1000,0,12046726,8685,11439,11422,12360
10,1000,0,11945340,8685,11439,12753,14121
10,1000,0,11990343,8685,11439,11429,12353
10,1000,0,13004852,8685,11439,13361,17671
10,1000,0,12882554,8685,11439,10935,12273
10,1000,0,12685488,8685,11439,13005,17633
10,1000,0,12854832,8685,11439,11325,16007
10,1000,0,12578997,8685,11439,11351,12219
10,1000,0,12772620,8685,11439,10815,12231
10,1000,0,12886396,8685,11439,13209,17981
10,1000,0,12720659,8685,11439,11281,12211
10,1000,0,12998386,8685,11439,11021,12275
10,1000,0,12607766,8685,11439,11261,15995
10,1000,0,13444821,8685,11439,11098,12144
10,1000,0,13557126,8685,11439,10849,15725
10,1000,0,13448797,8685,11439,11513,12449
10,1000,0,13337953,8685,11439,11519,12461
10,1000,0,13598403,8685,11439,11051,15917
10,1000,0,13339351,8685,11439,11371,15927
10,1000,0,13557125,8685,11439,12661,14045
10,1000,0,13592202,8685,11439,10905,11901
10,1000,0,13709254,8685,11439,11311,15841
10,1000,0,13443839,8685,11439,11179,16015
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,0,8685,11439,9802.281494140625,10155
10,1000,0.2,590158,8685,11439,9802.281494140625,10155
10,1000,0.2,481710,8685,11439,9802.281494140625,10155
10,1000,0.2,233680,8685,11439,9812.841796875,10349
10,1000,0.2,608123,8685,11439,9807.08154296875,12055
10,1000,0.2,572351,8685,11439,9802.281494140625,10155
10,1000,0.2,21,8685,11439,9802.281494140625,10155
10,1000,0.2,126598,8685,11439,9886.76123046875,10559
10,1000,0.2,701178,8685,11439,9807.08154296875,12041
10,1000,0.2,594149,8685,11439,9809.807373046875,12053
10,1000,0.2,600119,8685,11439,9802.281494140625,10155
10,1000,0.2,1147174,8685,11439,9802.281494140625,10155
10,1000,0.2,1347371,8685,11439,9832.818359375,10361
10,1000,0.2,1201485,8685,11439,9836.545654296875,10167
10,1000,0.2,1152750,8685,11439,9802.281494140625,10155
10,1000,0.2,1171851,8685,11439,9802.281494140625,10155
10,1000,0.2,1212404,8685,11439,9802.281494140625,10155
10,1000,0.2,764080,8685,11439,9829.1611328125,12249
10,1000,0.2,872872,8685,11439,9807.08154296875,12043
10,1000,0.2,1284322,8685,11439,9790.04150390625,10155
10,1000,0.2,849773,8685,11439,9802.281494140625,10155
10,1000,0.2,1735793,8685,11439,10267.88134765625,11889
10,1000,0.2,2142810,8685,11439,9824.4580078125,12043
10,1000,0.2,1723047,8685,11439,9802.281494140625,11911
10,1000,0.2,2018584,8685,11439,9802.281494140625,10155
10,1000,0.2,1901676,8685,11439,9831.60986328125,10169
10,1000,0.2,1600130,8685,11439,9802.281494140625,10155
10,1000,0.2,2092072,8685,11439,9804.200927734375,10155
10,1000,0.2,1851912,8685,11439,9802.281494140625,10155
10,1000,0.2,1752230,8685,11439,9798.441650390625,10155
10,1000,0.2,1665090,8685,11439,9892.52099609375,12097
10,1000,0.2,2354986,8685,11439,9802.281494140625,12037
10,1000,0.2,2795705,8685,11439,9792.681884765625,10347
10,1000,0.2,2643853,8685,11439,9810.361328125,11923
10,1000,0.2,2762579,8685,11439,9881.00146484375,10335
10,1000,0.2,2834419,8685,11439,9817.80126953125,11921
10,1000,0.2,2933294,8685,11439,9828.20068359375,12005
10,1000,0.2,2421087,8685,11439,9813.170166015625,10155
10,1000,0.2,2772876,8685,11439,9830.8740234375,10155
10,1000,0.2,2703879,8685,11439,9818.689697265625,10155
10,1000,0.2,2835144,8685,11439,9816.369873046875,10155
10,1000,0.2,3049584,8685,11439,9802.281494140625,11911
10,1000,0.2,3652077,8685,11439,9796.76123046875,11911
10,1000,0.2,3232233,8685,11439,9802.281494140625,11911
10,1000,0.2,3355255,8685,11439,9798.441650390625,13949
10,1000,0.2,3562007,8685,11439,9804.200927734375,10155
10,1000,0.2,3231747,8685,11439,9869.377685546875,11983
10,1000,0.2,3623471,8685,11439,10363.85595703125,13611
10,1000,0.2,3663322,8685,11439,9821.6259765625,10155
10,1000,0.2,3564429,8685,11439,9853.161376953125,12174
10,1000,0.2,3404830,8685,11439,9809.000732421875,11911
10,1000,0.2,3985339,8685,11439,9974.12109375,12087
10,1000,0.2,4186331,8685,11439,9969.12939453125,13913
10,1000,0.2,3969423,8685,11439,9786.201171875,13969
10,1000,0.2,4205571,8685,11439,9809.561279296875,11919
10,1000,0.2,4241572,8685,11439,9926.719970703125,12415
10,1000,0.2,4344111,8685,11439,9826.281982421875,10256
10,1000,0.2,4391014,8685,11439,10004.647705078125,13893
10,1000,0.2,3836446,8685,11439,9813.322021484375,10155
10,1000,0.2,3962783,8685,11439,9939.45703125,12191
10,1000,0.2,4086208,8685,11439,10209.38916015625,12077
10,1000,0.2,4765670,8685,11439,9919.37646484375,12591
10,1000,0.2,5028041,8685,11439,9835.8818359375,10591
10,1000,0.2,4884765,8685,11439,9911.339111328125,12073
10,1000,0.2,4548220,8685,11439,9836.619384765625,10165
10,1000,0.2,4515601,8685,11439,9846.42626953125,12075
10,1000,0.2,5112608,8685,11439,10269.801025390625,13833
10,1000,0.2,4491282,8685,11439,9845.481201171875,12169
10,1000,0.2,4793915,8685,11439,9822.441650390625,10242
10,1000,0.2,4716976,8685,11439,9802.281494140625,10155
10,1000,0.2,5108980,8685,11439,9921.800537109375,12243
10,1000,0.2,5891826,8685,11439,9808.185546875,11917
10,1000,0.2,5246699,8685,11439,9867.3212890625,12247
10,1000,0.2,5744662,8685,11439,9874.0009765625,14533
10,1000,0.2,5586864,8685,11439,10265.0009765625,11889
10,1000,0.2,5288153,8685,11439,9821.377685546875,11911
10,1000,0.2,5401890,8685,11439,9799.24169921875,10369
10,1000,0.2,5883459,8685,11439,9861.281494140625,11996
10,1000,0.2,5400486,8685,11439,9814.760498046875,12039
10,1000,0.2,5457418,8685,11439,9876.09716796875,11994
10,1000,0.2,5471901,8685,11439,9932.2978515625,12097
10,1000,0.2,6010210,8685,11439,9824.36083984375,12059
10,1000,0.2,6283520,8685,11439,9841.264892578125,11917
10,1000,0.2,6479247,8685,11439,10086.828857421875,12429
10,1000,0.2,6399394,8685,11439,9862.24072265625,10375
10,1000,0.2,6369448,8685,11439,9904.424560546875,13923
10,1000,0.2,6055511,8685,11439,9847.400390625,10365
10,1000,0.2,6540530,8685,11439,10028.43359375,15815
10,1000,0.2,6515098,8685,11439,9902.120849609375,14009
10,1000,0.2,6378225,8685,11439,9832.03857421875,12041
10,1000,0.2,6602021,8685,11439,9827.3857421875,10335
10,1000,0.2,7191415,8685,11439,9943.6416015625,12253
10,1000,0.2,7343776,8685,11439,10566.448486328125,13773
10,1000,0.2,7080344,8685,11439,9984.890869140625,12469
10,1000,0.2,7128035,8685,11439,9812.241943359375,11911
10,1000,0.2,7306416,8685,11439,9841.335205078125,12049
10,1000,0.2,6778979,8685,11439,9979.880859375,12263
10,1000,0.2,7110672,8685,11439,9814.761474609375,12018
10,1000,0.2,7225681,8685,11439,9856.040283203125,12005
10,1000,0.2,6772641,8685,11439,9920.776611328125,16131
10,1000,0.2,7355466,8685,11439,9915.726806640625,12253
10,1000,0.2,7585121,8685,11439,9954.559326171875,12093
10,1000,0.2,7566990,8685,11439,9850.8154296875,12013
10,1000,0.2,8071376,8685,11439,10166.463623046875,16293
10,1000,0.2,8064697,8685,11439,9858.60986328125,10213
10,1000,0.2,8022747,8685,11439,9921.361083984375,14005
10,1000,0.2,7842305,8685,11439,9910.657958984375,12669
10,1000,0.2,7835725,8685,11439,9797.481689453125,10349
10,1000,0.2,7575292,8685,11439,10137.086181640625,12643
10,1000,0.2,7419588,8685,11439,9945.615966796875,12205
