NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
100,1000,0,0,8685,11439,8685,10155
100,1000,0,0,8685,11439,8685,10155
100,1000,0,0,8685,11439,8685,10155
100,1000,0,0,8685,11439,8685,10155
100,1000,0,0,8685,11439,8685,10155
100,1000,0,9256277,8685,11439,12839,14133
100,1000,0,8497886,8685,11439,10769,12101
100,1000,0,8270232,8685,11439,9225,10673
100,1000,0,904414,8685,11439,9051,10155
100,1000,0,14764495,8685,11439,11375,12363
100,1000,0,19329003,8685,11439,10603,12057
100,1000,0,27182265,8685,11439,12943,17667
100,1000,0,14915284,8685,11439,10823,12095
100,1000,0,25484444,8685,11439,11451,12421
100,1000,0,29528380,8685,11439,10917,12193
100,1000,0,41395391,8685,11439,13197,17991
100,1000,0,38721020,8685,11439,11637,12339
100,1000,0,43662332,8685,11439,11591,16151
100,1000,0,38989246,8685,11439,11433,12667
100,1000,0,44292415,8685,11439,10973,12235
100,1000,0,47436601,8685,11439,12807,17879
100,1000,0,55927859,8685,11439,11462,12748
100,1000,0,45343456,8685,11439,13273,14191
100,1000,0,52615137,8685,11439,15413,19865
100,1000,0,59057722,8685,11439,12063,16577
100,1000,0,60428320,8685,11439,11737,16371
100,1000,0,62824291,8685,11439,15225,19779
100,1000,0,67291902,8685,11439,13663,18193
100,1000,0,62756307,8685,11439,11892,16530
100,1000,0,73822160,8685,11439,13707,18339
100,1000,0,82683666,8685,11439,13447,18117
100,1000,0,83384808,8685,11439,15479,19907
100,1000,0,81416172,8685,11439,13719,18179
100,1000,0,82761818,8685,11439,13233,17749
100,1000,0,88586834,8685,11439,17284,25633
100,1000,0,98972653,8685,11439,15111,19671
100,1000,0,92606460,8685,11439,15242,19810
100,1000,0,98523856,8685,11439,17035,29589
100,1000,0,91355595,8685,11439,15316,20136
100,1000,0,103350815,8685,11439,15657,20103
100,1000,0,104241292,8685,11439,20072,11477
100,1000,0,108356116,8685,11439,15365,19963
100,1000,0,104963289,8685,11439,17031,25365
100,1000,0,108885968,8685,11439,24601,11439
100,1000,0,118097626,8685,11439,17249,29757
100,1000,0,119607494,8685,11439,18982,26173
100,1000,0,118973833,8685,11439,19836,15321
100,1000,0,118452135,8685,11439,16483,28931
100,1000,0,118919096,8685,11439,15279,19843
100,1000,0,119792573,8685,11439,19265,26499
100,1000,0.1,0,8685,11439,9281.467041015625,10155
100,1000,0.1,0,8685,11439,9281.467041015625,10155
100,1000,0.1,0,8685,11439,9281.467041015625,10155
100,1000,0.1,0,8685,11439,9281.467041015625,10155
100,1000,0.1,0,8685,11439,9281.467041015625,10155
100,1000,0.1,9256277,8685,11439,9493.68310546875,14133
100,1000,0.1,8497886,8685,11439,9332.3583984375,12101
100,1000,0.1,8270232,8685,11439,9638.234130859375,10673
100,1000,0.1,904414,8685,11439,9265.626708984375,10155
100,1000,0.1,14764495,8685,11439,9567.501708984375,12363
100,1000,0.1,19329003,8685,11439,9404.17236328125,12057
100,1000,0.1,27182265,8685,11439,10353.068603515625,17667
100,1000,0.1,14915284,8685,11439,9403.798583984375,12095
100,1000,0.1,25484444,8685,11439,9497.033935546875,12421
100,1000,0.1,29528380,8685,11439,9963.9658203125,12193
100,1000,0.1,41395391,8685,11439,10973.167236328125,17991
