NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,0,15947,27617,15947,18641
2,1000,0,229570,15947,27617,23573,27233
2,1000,0,30672,15947,27617,15947,18641
2,1000,0,283071,15947,27617,15947,18641
2,1000,0,440164,15947,27617,31089,29225
2,1000,0,378701,15947,27617,15947,18641
2,1000,0,883736,15947,27617,15947,18641
2,1000,0,596357,15947,27617,23527,34813
2,1000,0,837874,15947,27617,34755,21577
2,1000,0,783914,15947,27617,23329,27233
2,1000,0,451965,15947,27617,31149,27233
2,1000,0,983684,15947,27617,19781,19071
2,1000,0,914464,15947,27617,23547,29177
2,1000,0,1336618,15947,27617,23557,29187
2,1000,0,1113187,15947,27617,15947,18641
2,1000,0,1029209,15947,27617,23581,29211
2,1000,0,1656662,15947,27617,38669,27233
2,1000,0,1546658,15947,27617,31211,27233
2,1000,0,1640439,15947,27617,34687,34889
2,1000,0,1554519,15947,27617,23239,28869
2,1000,0,1419546,15947,27617,31031,29135
2,1000,0,2228254,15947,27617,30721,27233
2,1000,0,2076755,15947,27617,30955,27233
2,1000,0,2087966,15947,27617,19761,19071
2,1000,0,2071475,15947,27617,31023,34827
2,1000,0,2216555,15947,27617,46367,27313
2,1000,0,2602076,15947,27617,46015,27233
2,1000,0,2533763,15947,27617,42391,28945
2,1000,0,2586760,15947,27617,42030,27233
2,1000,0,2406352,15947,27617,42140,27233
2,1000,0,2608881,15947,27617,49948,27617
2,1000,0,3060259,15947,27617,41917,27617
2,1000,0,2961451,15947,27617,49967,27233
2,1000,0,2947279,15947,27617,49587,27617
2,1000,0,2935122,15947,27617,49709,27617
2,1000,0,2899094,15947,27617,42021,27233
2,1000,0,3139163,15947,27617,57209,27617
2,1000,0,3220171,15947,27617,53255,27313
2,1000,0,3205951,15947,27617,57015,27617
2,1000,0,3245693,15947,27617,49814,27617
2,1000,0,3393370,15947,27617,45461,27233
2,1000,0,3609168,15947,27617,57458,27617
2,1000,0,3590645,15947,27617,49602,27617
2,1000,0,3631648,15947,27617,49431,27233
2,1000,0,3597470,15947,27617,41835,27233
2,1000,0,3611795,15947,27617,65071,27617
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,0,15947,27617,17113.99981289357,18641
2,1000,0.1,229570,15947,27617,17311.99981289357,27233
2,1000,0.1,30672,15947,27617,17113.99981289357,18641
2,1000,0.1,283071,15947,27617,17113.99981289357,18641
2,1000,0.1,440164,15947,27617,17846.599759869277,29225
2,1000,0.1,378701,15947,27617,17113.99981289357,18641
2,1000,0.1,883736,15947,27617,17113.99981289357,18641
2,1000,0.1,596357,15947,27617,17351.599809460342,34813
2,1000,0.1,837874,15947,27617,17985.199621252716,21577
2,1000,0.1,783914,15947,27617,17331.79979877919,27233
2,1000,0.1,451965,15947,27617,17311.999751858413,27233
2,1000,0.1,983684,15947,27617,17212.999791912735,19071
2,1000,0.1,914464,15947,27617,17153.599849514663,29177
2,1000,0.1,1336618,15947,27617,17509.999934963882,29187
2,1000,0.1,1113187,15947,27617,17113.99981289357,18641
2,1000,0.1,1029209,15947,27617,17232.79980068654,29211
2,1000,0.1,1656662,15947,27617,19331.59790020436,27233
2,1000,0.1,1546658,15947,27617,18757.40000515431,27233
2,1000,0.1,1640439,15947,27617,18044.599878959358,34889
2,1000,0.1,1554519,15947,27617,18005.000111870468,28869
2,1000,0.1,1419546,15947,27617,17965.399986080825,29135
2,1000,0.1,2228254,15947,27617,17688.19997768849,27233
