NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
10,1000,0,0,9479,14603,9479,11689
10,1000,0,0,9479,14603,9479,11689
10,1000,0,0,9479,14603,9479,11689
10,1000,0,0,9479,14603,9479,11689
10,1000,0,0,9479,14603,9479,11689
10,1000,0,9860,9479,14603,11432,13642
10,1000,0,3205,9479,14603,9479,11689
10,1000,0,18386,9479,14603,11644,13708
10,1000,0,12882,9479,14603,11036,13246
10,1000,0,18949,9479,14603,10605,12687
10,1000,0,30474,9479,14603,13218,15306
10,1000,0,27251,9479,14603,11787,13857
10,1000,0,21727,9479,14603,10969,13025
10,1000,0,33838,9479,14603,11855,14031
10,1000,0,37891,9479,14603,10630,12812
10,1000,0,47621,9479,14603,12189,13993
10,1000,0,53899,9479,14603,13192,15290
10,1000,0,38669,9479,14603,9697,11689
10,1000,0,49969,9479,14603,13172,15216
10,1000,0,56873,9479,14603,12087,13773
10,1000,0,69627,9479,14603,14668,16486
10,1000,0,66590,9479,14603,12688,14472
10,1000,0,63477,9479,14603,14018,14758
10,1000,0,70231,9479,14603,11835,13891
10,1000,0,75822,9479,14603,13630,15566
10,1000,0,79272,9479,14603,11549,13635
10,1000,0,86839,9479,14603,13150,14892
10,1000,0,85978,9479,14603,15614,16156
10,1000,0,76016,9479,14603,14461,14905
10,1000,0,94784,9479,14603,14772,15728
10,1000,0,102762,9479,14603,13042,14894
10,1000,0,103587,9479,14603,11921,12689
10,1000,0,111906,9479,14603,12628,14494
10,1000,0,97921,9479,14603,15467,17213
10,1000,0,113748,9479,14603,14917,16791
10,1000,0,123828,9479,14603,13206,15064
10,1000,0,118947,9479,14603,13954,15940
10,1000,0,132517,9479,14603,13416,15200
10,1000,0,117214,9479,14603,13662,15530
10,1000,0,132677,9479,14603,15259,17075
10,1000,0,141645,9479,14603,14702,14984
10,1000,0,137732,9479,14603,13216,15040
10,1000,0,148460,9479,14603,14441,14683
10,1000,0,140303,9479,14603,14491,16331
10,1000,0,151209,9479,14603,13936,14646
10,1000,0,152651,9479,14603,15097,16957
10,1000,0,161396,9479,14603,11415,13117
10,1000,0,153173,9479,14603,12323,14157
10,1000,0,157737,9479,14603,11710,13536
10,1000,0,165368,9479,14603,12535,14137
10,1000,0.1,0,9479,14603,10209.0283203125,11689
10,1000,0.1,0,9479,14603,10209.0283203125,11689
10,1000,0.1,0,9479,14603,10209.0283203125,11689
10,1000,0.1,0,9479,14603,10209.0283203125,11689
10,1000,0.1,0,9479,14603,10209.0283203125,11689
10,1000,0.1,9860,9479,14603,10369.409423828125,13642
10,1000,0.1,3205,9479,14603,10209.0283203125,11689
10,1000,0.1,18386,9479,14603,10239.71826171875,13708
10,1000,0.1,12882,9479,14603,10732.7373046875,13246
10,1000,0.1,18949,9479,14603,10229.81982421875,12687
