NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
2,1000,0,0,19157,19157,19157,19157
2,1000,0,0,19157,19157,19157,19157
2,1000,0,0,19157,19157,19157,19157
2,1000,0,0,19157,19157,19157,19157
2,1000,0,0,19157,19157,19157,19157
2,1000,0,6516,19157,19157,19157,19157
2,1000,0,16312,19157,19157,22409,19157
2,1000,0,9777,19157,19157,19157,19157
2,1000,0,16338,19157,19157,19157,19157
2,1000,0,17725,19157,19157,28898,19157
2,1000,0,22797,19157,19157,19157,19157
2,1000,0,29348,19157,19157,28632,19157
2,1000,0,29328,19157,19157,28923,19157
2,1000,0,23383,19157,19157,19157,19157
2,1000,0,37882,19157,19157,23283,19157
2,1000,0,40819,19157,19157,29790,19157
2,1000,0,42396,19157,19157,28910,19157
2,1000,0,56058,19157,19157,35352,19157
2,1000,0,55360,19157,19157,41818,19157
2,1000,0,57444,19157,19157,36819,19157
2,1000,0,74738,19157,19157,48457,19157
2,1000,0,68484,19157,19157,41947,19157
2,1000,0,68394,19157,19157,48350,19157
2,1000,0,63814,19157,19157,23286,19157
2,1000,0,76628,19157,19157,29667,19157
2,1000,0,88010,19157,19157,48165,19157
2,1000,0,94620,19157,19157,29041,19157
2,1000,0,81958,19157,19157,48977,19157
2,1000,0,95166,19157,19157,36309,25631
2,1000,0,95782,19157,19157,49112,19157
2,1000,0,113706,19157,19157,60805,19157
2,1000,0,114040,19157,19157,45173,19157
2,1000,0,102380,19157,19157,43193,19157
2,1000,0,96122,19157,19157,41795,19157
2,1000,0,114899,19157,19157,22954,19157
2,1000,0,127922,19157,19157,60975,19157
2,1000,0,116014,19157,19157,50273,19157
2,1000,0,121552,19157,19157,55055,19157
2,1000,0,115078,19157,19157,36373,19157
2,1000,0,134082,19157,19157,54053,19157
2,1000,0,134830,19157,19157,68247,19157
2,1000,0,141028,19157,19157,62260,19157
2,1000,0,135634,19157,19157,69393,19157
2,1000,0,140996,19157,19157,68652,19157
2,1000,0,153201,19157,19157,67950,19157
2,1000,0,155376,19157,19157,62209,19157
2,1000,0,155464,19157,19157,60049,19157
2,1000,0,159088,19157,19157,70575,19157
2,1000,0,153863,19157,19157,29612,25581
2,1000,0,160742,19157,19157,62457,19157
2,1000,0.1,0,19157,19157,19157,19157
2,1000,0.1,0,19157,19157,19157,19157
2,1000,0.1,0,19157,19157,19157,19157
2,1000,0.1,0,19157,19157,19157,19157
2,1000,0.1,0,19157,19157,19157,19157
2,1000,0.1,6516,19157,19157,19157,19157
2,1000,0.1,16312,19157,19157,19157,19157
2,1000,0.1,9777,19157,19157,19157,19157
2,1000,0.1,16338,19157,19157,19157,19157
2,1000,0.1,17725,19157,19157,19157,19157
2,1000,0.1,22797,19157,19157,19157,19157
2,1000,0.1,29348,19157,19157,19157,19157
2,1000,0.1,29328,19157,19157,19157,19157
2,1000,0.1,23383,19157,19157,19157,19157
2,1000,0.1,37882,19157,19157,19157,19157
2,1000,0.1,40819,19157,19157,19157,19157
2,1000,0.1,42396,19157,19157,19157,19157
2,1000,0.1,56058,19157,19157,19157,19157
2,1000,0.1,55360,19157,19157,19157,19157
2,1000,0.1,57444,19157,19157,22105,19157
2,1000,0.1,74738,19157,19157,19157,19157
2,1000,0.1,68484,19157,19157,19157,19157
2,1000,0.1,68394,19157,19157,19157,19157
2,1000,0.1,63814,19157,19157,19157,19157
2,1000,0.1,76628,19157,19157,19157,19157
2,1000,0.1,88010,19157,19157,19157,19157
2,1000,0.1,94620,19157,19157,19157,19157
2,1000,0.1,81958,19157,19157,19157,19157
2,1000,0.1,95166,19157,19157,25653,25631
2,1000,0.1,95782,19157,19157,19157,19157
2,1000,0.1,113706,19157,19157,24449,19157
2,1000,0.1,114040,19157,19157,19157,19157
2,1000,0.1,102380,19157,19157,19157,19157
2,1000,0.1,96122,19157,19157,19157,19157
2,1000,0.1,114899,19157,19157,19157,19157
2,1000,0.1,127922,19157,19157,24485,19157
2,1000,0.1,116014,19157,19157,19157,19157
2,1000,0.1,121552,19157,19157,19157,19157
2,1000,0.1,115078,19157,19157,19157,19157
2,1000,0.1,134082,19157,19157,24449,19157
2,1000,0.1,134830,19157,19157,19157,19157
2,1000,0.1,141028,19157,19157,19157,19157
2,1000,0.1,135634,19157,19157,22285,19157
2,1000,0.1,140996,19157,19157,24431,19157
2,1000,0.1,153201,19157,19157,19157,19157
2,1000,0.1,155376,19157,19157,19157,19157
2,1000,0.1,155464,19157,19157,24485,19157
2,1000,0.1,159088,19157,19157,19157,19157
2,1000,0.1,153863,19157,19157,19157,25581
2,1000,0.1,160742,19157,19157,19157,19157
2,1000,0.2,0,19157,19157,19157,19157
2,1000,0.2,0,19157,19157,19157,19157
2,1000,0.2,0,19157,19157,19157,19157
2,1000,0.2,0,19157,19157,19157,19157
2,1000,0.2,0,19157,19157,19157,19157
2,1000,0.2,6516,19157,19157,19157,19157
2,1000,0.2,16312,19157,19157,19157,19157
2,1000,0.2,9777,19157,19157,19157,19157
2,1000,0.2,16338,19157,19157,19157,19157
2,1000,0.2,17725,19157,19157,19157,19157
2,1000,0.2,22797,19157,19157,19157,19157
2,1000,0.2,29348,19157,19157,19157,19157
2,1000,0.2,29328,19157,19157,19157,19157
2,1000,0.2,23383,19157,19157,19157,19157
2,1000,0.2,37882,19157,19157,19157,19157
2,1000,0.2,40819,19157,19157,19157,19157
2,1000,0.2,42396,19157,19157,19157,19157
2,1000,0.2,56058,19157,19157,19157,19157
2,1000,0.2,55360,19157,19157,19157,19157
2,1000,0.2,57444,19157,19157,22249,19157
2,1000,0.2,74738,19157,19157,19157,19157
2,1000,0.2,68484,19157,19157,19157,19157
2,1000,0.2,68394,19157,19157,19157,19157
2,1000,0.2,63814,19157,19157,19157,19157
2,1000,0.2,76628,19157,19157,19157,19157
2,1000,0.2,88010,19157,19157,19157,19157
2,1000,0.2,94620,19157,19157,19157,19157
2,1000,0.2,81958,19157,19157,19157,19157
2,1000,0.2,95166,19157,19157,25653,25631
2,1000,0.2,95782,19157,19157,19157,19157
2,1000,0.2,113706,19157,19157,19157,19157
2,1000,0.2,114040,19157,19157,19157,19157
2,1000,0.2,102380,19157,19157,19157,19157
2,1000,0.2,96122,19157,19157,19157,19157
2,1000,0.2,114899,19157,19157,19157,19157
2,1000,0.2,127922,19157,19157,19157,19157
2,1000,0.2,116014,19157,19157,19157,19157
2,1000,0.2,121552,19157,19157,19157,19157
2,1000,0.2,115078,19157,19157,19157,19157
2,1000,0.2,134082,19157,19157,19157,19157
2,1000,0.2,134830,19157,19157,19157,19157
2,1000,0.2,141028,19157,19157,19157,19157
2,1000,0.2,135634,19157,19157,22217,19157
2,1000,0.2,140996,19157,19157,19157,19157
2,1000,0.2,153201,19157,19157,19157,19157
2,1000,0.2,155376,19157,19157,19157,19157
2,1000,0.2,155464,19157,19157,19157,19157
2,1000,0.2,159088,19157,19157,19157,19157
2,1000,0.2,153863,19157,19157,19157,25581
2,1000,0.2,160742,19157,19157,19157,19157
2,1000,0.3,0,19157,19157,19157,19157
2,1000,0.3,0,19157,19157,19157,19157
2,1000,0.3,0,19157,19157,19157,19157
2,1000,0.3,0,19157,19157,19157,19157
2,1000,0.3,0,19157,19157,19157,19157
2,1000,0.3,6516,19157,19157,19157,19157
2,1000,0.3,16312,19157,19157,19157,19157
2,1000,0.3,9777,19157,19157,19157,19157
2,1000,0.3,16338,19157,19157,19157,19157
2,1000,0.3,17725,19157,19157,19157,19157
2,1000,0.3,22797,19157,19157,19157,19157
2,1000,0.3,29348,19157,19157,19157,19157
2,1000,0.3,29328,19157,19157,19157,19157
2,1000,0.3,23383,19157,19157,19157,19157
2,1000,0.3,37882,19157,19157,19157,19157
2,1000,0.3,40819,19157,19157,19157,19157
2,1000,0.3,42396,19157,19157,19157,19157
2,1000,0.3,56058,19157,19157,19157,19157
2,1000,0.3,55360,19157,19157,19157,19157
2,1000,0.3,57444,19157,19157,19157,19157
2,1000,0.3,74738,19157,19157,19157,19157
2,1000,0.3,68484,19157,19157,19157,19157
2,1000,0.3,68394,19157,19157,19157,19157
2,1000,0.3,63814,19157,19157,19157,19157
2,1000,0.3,76628,19157,19157,19157,19157
2,1000,0.3,88010,19157,19157,19157,19157
2,1000,0.3,94620,19157,19157,19157,19157
2,1000,0.3,81958,19157,19157,19157,19157
2,1000,0.3,95166,19157,19157,19157,25631
2,1000,0.3,95782,19157,19157,19157,19157
2,1000,0.3,113706,19157,19157,19157,19157
2,1000,0.3,114040,19157,19157,19157,19157
2,1000,0.3,102380,19157,19157,19157,19157
2,1000,0.3,96122,19157,19157,19157,19157
2,1000,0.3,114899,19157,19157,19157,19157
2,1000,0.3,127922,19157,19157,19157,19157
2,1000,0.3,116014,19157,19157,19157,19157
2,1000,0.3,121552,19157,19157,19157,19157
2,1000,0.3,115078,19157,19157,19157,19157
2,1000,0.3,134082,19157,19157,19157,19157
2,1000,0.3,134830,19157,19157,19157,19157
2,1000,0.3,141028,19157,19157,19157,19157
2,1000,0.3,135634,19157,19157,19157,19157
2,1000,0.3,140996,19157,19157,19157,19157
2,1000,0.3,153201,19157,19157,19157,19157
2,1000,0.3,155376,19157,19157,19157,19157
2,1000,0.3,155464,19157,19157,19157,19157
2,1000,0.3,159088,19157,19157,19157,19157
2,1000,0.3,153863,19157,19157,19157,25581
2,1000,0.3,160742,19157,19157,19157,19157
2,1000,0.4,0,19157,19157,19157,19157
2,1000,0.4,0,19157,19157,19157,19157
2,1000,0.4,0,19157,19157,19157,19157
2,1000,0.4,0,19157,19157,19157,19157
2,1000,0.4,0,19157,19157,19157,19157
2,1000,0.4,6516,19157,19157,19157,19157
2,1000,0.4,16312,19157,19157,19157,19157
2,1000,0.4,9777,19157,19157,19157,19157
2,1000,0.4,16338,19157,19157,19157,19157
2,1000,0.4,17725,19157,19157,19157,19157
2,1000,0.4,22797,19157,19157,19157,19157
2,1000,0.4,29348,19157,19157,19157,19157
2,1000,0.4,29328,19157,19157,19157,19157
2,1000,0.4,23383,19157,19157,19157,19157
2,1000,0.4,37882,19157,19157,19157,19157
2,1000,0.4,40819,19157,19157,19157,19157
2,1000,0.4,42396,19157,19157,19157,19157
2,1000,0.4,56058,19157,19157,19157,19157
2,1000,0.4,55360,19157,19157,19157,19157
2,1000,0.4,57444,19157,19157,19157,19157
2,1000,0.4,74738,19157,19157,19157,19157
2,1000,0.4,68484,19157,19157,19157,19157
2,1000,0.4,68394,19157,19157,19157,19157
2,1000,0.4,63814,19157,19157,19157,19157
2,1000,0.4,76628,19157,19157,19157,19157
2,1000,0.4,88010,19157,19157,19157,19157
2,1000,0.4,94620,19157,19157,19157,19157
2,1000,0.4,81958,19157,19157,19157,19157
2,1000,0.4,95166,19157,19157,19157,25631
2,1000,0.4,95782,19157,19157,19157,19157
2,1000,0.4,113706,19157,19157,19157,19157
2,1000,0.4,114040,19157,19157,19157,19157
2,1000,0.4,102380,19157,19157,19157,19157
2,1000,0.4,96122,19157,19157,19157,19157
2,1000,0.4,114899,19157,19157,19157,19157
2,1000,0.4,127922,19157,19157,19157,19157
2,1000,0.4,116014,19157,19157,19157,19157
2,1000,0.4,121552,19157,19157,19157,19157
2,1000,0.4,115078,19157,19157,19157,19157
2,1000,0.4,134082,19157,19157,19157,19157
2,1000,0.4,134830,19157,19157,19157,19157
2,1000,0.4,141028,19157,19157,19157,19157
2,1000,0.4,135634,19157,19157,19157,19157
2,1000,0.4,140996,19157,19157,19157,19157
2,1000,0.4,153201,19157,19157,19157,19157
2,1000,0.4,155376,19157,19157,19157,19157
2,1000,0.4,155464,19157,19157,19157,19157
2,1000,0.4,159088,19157,19157,19157,19157
2,1000,0.4,153863,19157,19157,19157,25581
2,1000,0.4,160742,19157,19157,19157,19157
2,1000,0.5,0,19157,19157,19157,19157
2,1000,0.5,0,19157,19157,19157,19157
2,1000,0.5,0,19157,19157,19157,19157
2,1000,0.5,0,19157,19157,19157,19157
2,1000,0.5,0,19157,19157,19157,19157
2,1000,0.5,6516,19157,19157,19157,19157
2,1000,0.5,16312,19157,19157,19157,19157
2,1000,0.5,9777,19157,19157,19157,19157
2,1000,0.5,16338,19157,19157,19157,19157
2,1000,0.5,17725,19157,19157,19157,19157
2,1000,0.5,22797,19157,19157,19157,19157
2,1000,0.5,29348,19157,19157,19157,19157
2,1000,0.5,29328,19157,19157,19157,19157
2,1000,0.5,23383,19157,19157,19157,19157
2,1000,0.5,37882,19157,19157,19157,19157
2,1000,0.5,40819,19157,19157,19157,19157
2,1000,0.5,42396,19157,19157,19157,19157
2,1000,0.5,56058,19157,19157,19157,19157
2,1000,0.5,55360,19157,19157,19157,19157
2,1000,0.5,57444,19157,19157,19157,19157
2,1000,0.5,74738,19157,19157,19157,19157
2,1000,0.5,68484,19157,19157,19157,19157
2,1000,0.5,68394,19157,19157,19157,19157
2,1000,0.5,63814,19157,19157,19157,19157
2,1000,0.5,76628,19157,19157,19157,19157
2,1000,0.5,88010,19157,19157,19157,19157
2,1000,0.5,94620,19157,19157,19157,19157
2,1000,0.5,81958,19157,19157,19157,19157
2,1000,0.5,95166,19157,19157,19157,25631
