NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
5,1000,0,0,8685,11439,8685,10155
5,1000,0,0,8685,11439,8685,10155
5,1000,0,0,8685,11439,8685,10155
5,1000,0,0,8685,11439,8685,10155
5,1000,0,0,8685,11439,8685,10155
5,1000,0,8,8685,11439,8685,10155
5,1000,0,51,8685,11439,8695,10155
5,1000,0,75439,8685,11439,9247,10339
5,1000,0,2223,8685,11439,8855,10325
5,1000,0,16,8685,11439,8685,10155
5,1000,0,365943,8685,11439,8685,10155
5,1000,0,388211,8685,11439,8685,10155
5,1000,0,546602,8685,11439,8691,10161
5,1000,0,297840,8685,11439,8685,10155
5,1000,0,484155,8685,11439,8685,10155
5,1000,0,766799,8685,11439,8769,10239
5,1000,0,783183,8685,11439,8713,10165
5,1000,0,788444,8685,11439,8685,10155
5,1000,0,722840,8685,11439,9079,10549
5,1000,0,799684,8685,11439,8685,10155
5,1000,0,890394,8685,11439,8685,10155
5,1000,0,1079500,8685,11439,10809,12095
5,1000,0,992145,8685,11439,8685,10155
5,1000,0,991017,8685,11439,9162,10620
5,1000,0,972144,8685,11439,9063,10533
5,1000,0,1149112,8685,11439,8725,10155
5,1000,0,1288980,8685,11439,8685,10155
5,1000,0,1210596,8685,11439,10619,11911
5,1000,0,1318968,8685,11439,8685,10155
5,1000,0,1259825,8685,11439,8693,10155
5,1000,0,1625820,8685,11439,10649,12119
5,1000,0,1574611,8685,11439,10581,12037
5,1000,0,1593016,8685,11439,8869,10339
5,1000,0,1481944,8685,11439,8691,10161
5,1000,0,1436020,8685,11439,8685,10155
5,1000,0,1852150,8685,11439,10501,11911
5,1000,0,1907694,8685,11439,8705,10165
5,1000,0,1928838,8685,11439,11333,16191
5,1000,0,1915486,8685,11439,10437,11907
5,1000,0,1832731,8685,11439,8685,10155
5,1000,0,2172025,8685,11439,10647,11911
5,1000,0,2173121,8685,11439,10583,12053
5,1000,0,2113227,8685,11439,10447,11907
5,1000,0,2048615,8685,11439,8685,10155
5,1000,0,2170463,8685,11439,8685,10155
5,1000,0,2256371,8685,11439,8723,10169
5,1000,0,2323311,8685,11439,10617,11911
5,1000,0,2409804,8685,11439,10467,11911
5,1000,0,2376811,8685,11439,8885,10171
5,1000,0,2346292,8685,11439,10615,11911
5,1000,0,2534420,8685,11439,8901,10371
5,1000,0,2656979,8685,11439,9407,10563
5,1000,0,2539202,8685,11439,10969,15767
5,1000,0,2552956,8685,11439,9121,10563
5,1000,0,2608583,8685,11439,9269,10739
5,1000,0,3022218,8685,11439,8889,10359
5,1000,0,2938826,8685,11439,8913,10363
5,1000,0,2806928,8685,11439,8901,10353
5,1000,0,3002004,8685,11439,8857,10155
5,1000,0,2825367,8685,11439,8885,10343
5,1000,0,3281221,8685,11439,10693,15321
5,1000,0,3212177,8685,11439,10463,11919
5,1000,0,3212088,8685,11439,11255,16143
5,1000,0,3084814,8685,11439,11043,11923
5,1000,0,3202833,8685,11439,10669,11923
5,1000,0,3394761,8685,11439,8685,10155
5,1000,0,3585126,8685,11439,10799,12085
5,1000,0,3567628,8685,11439,10939,15705
5,1000,0,3572295,8685,11439,10855,15767
5,1000,0,3383519,8685,11439,8889,10349
5,1000,0,3709016,8685,11439,9229,14105
5,1000,0,3823266,8685,11439,9097,10551
5,1000,0,3677262,8685,11439,8885,10353
5,1000,0,3673466,8685,11439,10631,11911
5,1000,0,3685941,8685,11439,10855,11911
5,1000,0,4138172,8685,11439,11065,15933
5,1000,0,3971139,8685,11439,11231,15977
5,1000,0,4057090,8685,11439,11025,12307
5,1000,0,4057369,8685,11439,11269,15875
5,1000,0,3898900,8685,11439,10945,12409
5,1000,0,4197613,8685,11439,10947,15767
5,1000,0,4300333,8685,11439,10653,11927
5,1000,0,4192654,8685,11439,10711,12121
5,1000,0,4390245,8685,11439,9109,13991
5,1000,0,4196008,8685,11439,8994,10458
5,1000,0,4467404,8685,11439,10477,11911
5,1000,0,4724594,8685,11439,10619,12067
5,1000,0,4545280,8685,11439,11067,12099
5,1000,0,4537084,8685,11439,10863,11911
5,1000,0,4454798,8685,11439,9059,13969
5,1000,0,4876570,8685,11439,10721,12243
5,1000,0,4845402,8685,11439,9051,13913
5,1000,0,4787379,8685,11439,10629,11911
