NumberOfServers,NumberOfRequests,Lmbda,Eta,OptCost,DC,LDC,RobustFtp
2,1000,0,0,15947,27617,15947,15947
2,1000,0,0,15947,27617,15947,15947
2,1000,0,0,15947,27617,15947,15947
2,1000,0,0,15947,27617,15947,15947
2,1000,0,0,15947,27617,15947,15947
2,1000,0,7650,15947,27617,15947,15947
2,1000,0,287070,15947,27617,23599,23599
2,1000,0,30636,15947,27617,15947,15947
2,1000,0,283257,15947,27617,19763,15947
2,1000,0,443922,15947,27617,23445,15947
2,1000,0,864560,15947,27617,23523,23523
2,1000,0,658693,15947,27617,38783,23553
2,1000,0,872017,15947,27617,23605,23605
2,1000,0,642608,15947,27617,23573,23573
2,1000,0,887355,15947,27617,23555,23555
2,1000,0,1309402,15947,27617,15947,15947
2,1000,0,1209060,15947,27617,23617,15947
2,1000,0,1297747,15947,27617,31275,15947
2,1000,0,933300,15947,27617,15947,15947
2,1000,0,1339329,15947,27617,27573,23757
2,1000,0,1501697,15947,27617,30773,23251
2,1000,0,1449992,15947,27617,23551,23551
2,1000,0,1690243,15947,27617,31165,23573
2,1000,0,1356153,15947,27617,23115,23115
2,1000,0,1782927,15947,27617,23601,23601
2,1000,0,2028274,15947,27617,42443,15947
2,1000,0,1801646,15947,27617,30959,15947
2,1000,0,1835304,15947,27617,23547,23547
2,1000,0,2122081,15947,27617,53733,15947
2,1000,0,2232482,15947,27617,57073,15947
2,1000,0,2361708,15947,27617,46321,15947
2,1000,0,2235197,15947,27617,23145,23145
2,1000,0,2520646,15947,27617,34726,15947
2,1000,0,2552663,15947,27617,38765,15947
2,1000,0,2678947,15947,27617,38591,23609
2,1000,0,2716722,15947,27617,45931,15947
2,1000,0,2856342,15947,27617,50056,15947
2,1000,0,2809400,15947,27617,46375,15947
2,1000,0,2878093,15947,27617,35027,23613
2,1000,0,3125215,15947,27617,49839,15947
2,1000,0,3502450,15947,27617,57413,15947
2,1000,0,3371459,15947,27617,57367,15947
2,1000,0,3175454,15947,27617,64643,15947
2,1000,0,3261868,15947,27617,68551,15947
2,1000,0,3565683,15947,27617,64827,15947
2,1000,0,3628737,15947,27617,57264,15947
2,1000,0,3609232,15947,27617,57551,15947
2,1000,0,3602092,15947,27617,49435,15947
2,1000,0,3593488,15947,27617,64946,15947
2,1000,0,3636662,15947,27617,57134,15947
2,1000,0.1,0,15947,27617,15947,15947
2,1000,0.1,0,15947,27617,15947,15947
2,1000,0.1,0,15947,27617,15947,15947
2,1000,0.1,0,15947,27617,15947,15947
2,1000,0.1,0,15947,27617,15947,15947
2,1000,0.1,7650,15947,27617,15947,15947
2,1000,0.1,287070,15947,27617,15947,23599
2,1000,0.1,30636,15947,27617,15947,15947
2,1000,0.1,283257,15947,27617,15947,15947
2,1000,0.1,443922,15947,27617,15947,15947
2,1000,0.1,864560,15947,27617,15947,23523
2,1000,0.1,658693,15947,27617,15947,23553
2,1000,0.1,872017,15947,27617,15947,23605
2,1000,0.1,642608,15947,27617,15947,23573
2,1000,0.1,887355,15947,27617,15947,23555
2,1000,0.1,1309402,15947,27617,15947,15947
2,1000,0.1,1209060,15947,27617,15947,15947
2,1000,0.1,1297747,15947,27617,15947,15947
2,1000,0.1,933300,15947,27617,15947,15947
2,1000,0.1,1339329,15947,27617,15947,23757
2,1000,0.1,1501697,15947,27617,15947,23251
2,1000,0.1,1449992,15947,27617,15947,23551
2,1000,0.1,1690243,15947,27617,15947,23573
2,1000,0.1,1356153,15947,27617,15947,23115
2,1000,0.1,1782927,15947,27617,15947,23601
2,1000,0.1,2028274,15947,27617,15947,15947
2,1000,0.1,1801646,15947,27617,15947,15947
2,1000,0.1,1835304,15947,27617,15947,23547
2,1000,0.1,2122081,15947,27617,15947,15947
2,1000,0.1,2232482,15947,27617,15947,15947
2,1000,0.1,2361708,15947,27617,15947,15947
2,1000,0.1,2235197,15947,27617,15947,23145
2,1000,0.1,2520646,15947,27617,15947,15947
2,1000,0.1,2552663,15947,27617,15947,15947
2,1000,0.1,2678947,15947,27617,15947,23609
2,1000,0.1,2716722,15947,27617,15947,15947
2,1000,0.1,2856342,15947,27617,15947,15947
2,1000,0.1,2809400,15947,27617,15947,15947
2,1000,0.1,2878093,15947,27617,15947,23613
2,1000,0.1,3125215,15947,27617,15947,15947
2,1000,0.1,3502450,15947,27617,15947,15947
2,1000,0.1,3371459,15947,27617,23617,15947
2,1000,0.1,3175454,15947,27617,15947,15947
2,1000,0.1,3261868,15947,27617,15947,15947
2,1000,0.1,3565683,15947,27617,15947,15947
2,1000,0.1,3628737,15947,27617,15947,15947
2,1000,0.1,3609232,15947,27617,15947,15947
2,1000,0.1,3602092,15947,27617,15947,15947
2,1000,0.1,3593488,15947,27617,15947,15947
2,1000,0.1,3636662,15947,27617,15947,15947
2,1000,0.2,0,15947,27617,15947,15947
2,1000,0.2,0,15947,27617,15947,15947
2,1000,0.2,0,15947,27617,15947,15947
2,1000,0.2,0,15947,27617,15947,15947
2,1000,0.2,0,15947,27617,15947,15947
2,1000,0.2,7650,15947,27617,15947,15947
2,1000,0.2,287070,15947,27617,15947,23599
2,1000,0.2,30636,15947,27617,15947,15947
2,1000,0.2,283257,15947,27617,15947,15947
2,1000,0.2,443922,15947,27617,15947,15947
2,1000,0.2,864560,15947,27617,15947,23523
2,1000,0.2,658693,15947,27617,15947,23553
2,1000,0.2,872017,15947,27617,15947,23605
2,1000,0.2,642608,15947,27617,15947,23573
2,1000,0.2,887355,15947,27617,15947,23555
2,1000,0.2,1309402,15947,27617,15947,15947
2,1000,0.2,1209060,15947,27617,15947,15947
2,1000,0.2,1297747,15947,27617,15947,15947
2,1000,0.2,933300,15947,27617,15947,15947
2,1000,0.2,1339329,15947,27617,15947,23757
2,1000,0.2,1501697,15947,27617,15947,23251
2,1000,0.2,1449992,15947,27617,15947,23551
2,1000,0.2,1690243,15947,27617,15947,23573
2,1000,0.2,1356153,15947,27617,15947,23115
2,1000,0.2,1782927,15947,27617,15947,23601
2,1000,0.2,2028274,15947,27617,15947,15947
2,1000,0.2,1801646,15947,27617,15947,15947
2,1000,0.2,1835304,15947,27617,15947,23547
2,1000,0.2,2122081,15947,27617,15947,15947
2,1000,0.2,2232482,15947,27617,15947,15947
2,1000,0.2,2361708,15947,27617,15947,15947
2,1000,0.2,2235197,15947,27617,15947,23145
2,1000,0.2,2520646,15947,27617,15947,15947
2,1000,0.2,2552663,15947,27617,15947,15947
2,1000,0.2,2678947,15947,27617,15947,23609
2,1000,0.2,2716722,15947,27617,15947,15947
2,1000,0.2,2856342,15947,27617,15947,15947
2,1000,0.2,2809400,15947,27617,15947,15947
2,1000,0.2,2878093,15947,27617,15947,23613
2,1000,0.2,3125215,15947,27617,15947,15947
2,1000,0.2,3502450,15947,27617,15947,15947
2,1000,0.2,3371459,15947,27617,15947,15947
2,1000,0.2,3175454,15947,27617,15947,15947
2,1000,0.2,3261868,15947,27617,15947,15947
2,1000,0.2,3565683,15947,27617,15947,15947
2,1000,0.2,3628737,15947,27617,15947,15947
2,1000,0.2,3609232,15947,27617,15947,15947
2,1000,0.2,3602092,15947,27617,15947,15947
2,1000,0.2,3593488,15947,27617,15947,15947
2,1000,0.2,3636662,15947,27617,15947,15947
2,1000,0.3,0,15947,27617,15947,15947
2,1000,0.3,0,15947,27617,15947,15947
2,1000,0.3,0,15947,27617,15947,15947
2,1000,0.3,0,15947,27617,15947,15947
2,1000,0.3,0,15947,27617,15947,15947
2,1000,0.3,7650,15947,27617,15947,15947
2,1000,0.3,287070,15947,27617,15947,23599
2,1000,0.3,30636,15947,27617,15947,15947
2,1000,0.3,283257,15947,27617,15947,15947
2,1000,0.3,443922,15947,27617,15947,15947
2,1000,0.3,864560,15947,27617,15947,23523
2,1000,0.3,658693,15947,27617,15947,23553
2,1000,0.3,872017,15947,27617,15947,23605
2,1000,0.3,642608,15947,27617,15947,23573
2,1000,0.3,887355,15947,27617,15947,23555
2,1000,0.3,1309402,15947,27617,15947,15947
2,1000,0.3,1209060,15947,27617,15947,15947
2,1000,0.3,1297747,15947,27617,15947,15947
2,1000,0.3,933300,15947,27617,15947,15947
2,1000,0.3,1339329,15947,27617,15947,23757
2,1000,0.3,1501697,15947,27617,15947,23251
2,1000,0.3,1449992,15947,27617,15947,23551
2,1000,0.3,1690243,15947,27617,15947,23573
2,1000,0.3,1356153,15947,27617,15947,23115
2,1000,0.3,1782927,15947,27617,15947,23601
2,1000,0.3,2028274,15947,27617,15947,15947
2,1000,0.3,1801646,15947,27617,15947,15947
2,1000,0.3,1835304,15947,27617,15947,23547
2,1000,0.3,2122081,15947,27617,15947,15947
2,1000,0.3,2232482,15947,27617,15947,15947
2,1000,0.3,2361708,15947,27617,15947,15947
2,1000,0.3,2235197,15947,27617,15947,23145
2,1000,0.3,2520646,15947,27617,15947,15947
2,1000,0.3,2552663,15947,27617,15947,15947
2,1000,0.3,2678947,15947,27617,15947,23609
2,1000,0.3,2716722,15947,27617,15947,15947
2,1000,0.3,2856342,15947,27617,15947,15947
2,1000,0.3,2809400,15947,27617,15947,15947
2,1000,0.3,2878093,15947,27617,15947,23613
2,1000,0.3,3125215,15947,27617,15947,15947
2,1000,0.3,3502450,15947,27617,15947,15947
