NumberOfServers,NumberOfRequests,Lmbda,Eta,AlgCost,DcCost
2,50,0.0,0,1576,2229
2,50,0.0,150,1752,2229
2,50,0.0,452,1576,2229
2,50,0.0,951,1606,2229
2,50,0.0,1241,2056,2229
2,50,0.0,1650,1933,2229
2,50,0.0,1997,2232,2229
2,50,0.0,2441,2322,2229
2,50,0.0,3023,2366,2229
2,50,0.0,3238,2328,2229
2,50,0.0,3916,2333,2229
2,50,0.0,3984,2521,2229
2,50,0.25,0,1825,2229
2,50,0.25,150,1981,2229
2,50,0.25,452,1825,2229
2,50,0.25,951,1859,2229
2,50,0.25,1241,2019,2229
2,50,0.25,1650,2042,2229
2,50,0.25,1997,2103,2229
2,50,0.25,2441,1977,2229
2,50,0.25,3023,2165,2229
2,50,0.25,3238,2285,2229
2,50,0.25,3916,2274,2229
2,50,0.25,3984,2236,2229
2,50,0.5,0,2053,2229
2,50,0.5,150,2176,2229
2,50,0.5,452,2053,2229
2,50,0.5,951,2037,2229
2,50,0.5,1241,2192,2229
2,50,0.5,1650,2082,2229
2,50,0.5,1997,2089,2229
2,50,0.5,2441,2017,2229
2,50,0.5,3023,2227,2229
2,50,0.5,3238,2348,2229
2,50,0.5,3916,2396,2229
2,50,0.5,3984,2206,2229
2,50,0.75,0,2131,2229
2,50,0.75,150,2203,2229
2,50,0.75,452,2131,2229
2,50,0.75,951,2131,2229
2,50,0.75,1241,2209,2229
2,50,0.75,1650,2138,2229
2,50,0.75,1997,2177,2229
2,50,0.75,2441,2117,2229
2,50,0.75,3023,2217,2229
2,50,0.75,3238,2321,2229
2,50,0.75,3916,2318,2229
2,50,0.75,3984,2148,2229
2,50,1.0,0,2229,2229
2,50,1.0,150,2229,2229
2,50,1.0,452,2229,2229
2,50,1.0,951,2229,2229
2,50,1.0,1241,2229,2229
2,50,1.0,1650,2229,2229
2,50,1.0,1997,2229,2229
2,50,1.0,2441,2229,2229
2,50,1.0,3023,2229,2229
2,50,1.0,3238,2229,2229
2,50,1.0,3916,2229,2229
2,50,1.0,3984,2229,2229
2,50,0.0,0,1494,2324
2,50,0.0,175,1680,2324
2,50,0.0,423,1604,2324
2,50,0.0,847,1680,2324
2,50,0.0,1444,1762,2324
2,50,0.0,1651,1826,2324
2,50,0.0,1873,1760,2324
2,50,0.0,2376,2448,2324
2,50,0.0,2902,1894,2324
2,50,0.0,3066,2132,2324
2,50,0.0,3364,2240,2324
2,50,0.0,3766,2504,2324
2,50,0.25,0,1670,2324
2,50,0.25,175,1836,2324
2,50,0.25,423,1692,2324
2,50,0.25,847,1836,2324
2,50,0.25,1444,1820,2324
2,50,0.25,1651,1962,2324
2,50,0.25,1873,1856,2324
2,50,0.25,2376,2338,2324
2,50,0.25,2902,1970,2324
2,50,0.25,3066,2092,2324
2,50,0.25,3364,2190,2324
2,50,0.25,3766,2280,2324
2,50,0.5,0,1871,2324
2,50,0.5,175,2025,2324
2,50,0.5,423,1837,2324
2,50,0.5,847,2025,2324
2,50,0.5,1444,2007,2324
2,50,0.5,1651,2083,2324
2,50,0.5,1873,2023,2324
2,50,0.5,2376,2257,2324
2,50,0.5,2902,2063,2324
2,50,0.5,3066,2177,2324
